Year,1st highlighter,2nd,3rd,4th,5th,6th,7th,8th,9th,10th
2020,United States,China,Japan,Germany,United Kingdom,India,France,Italy,Canada,South Korea
2015,United States,China,Japan,Germany,United Kingdom,France,India,Italy,Brazil,Canada
2010,United States,China,Japan,Germany,France,United Kingdom,Brazil,Italy,India,Russia
2005,United States,Japan,Germany,United Kingdom,China,France,Italy,Canada,Spain,South Korea
2000,United States,Japan,Germany,United Kingdom,France,China,Italy,Canada,Mexico,Brazil
1995,Japan,United States,Germany,France,United Kingdom,Italy,Brazil,China,Spain,Canada
1990,United States,Japan,Soviet Union,West Germany,France,Italy,United Kingdom,Mexico,Brazil,Canada
1985,United States,Soviet Union,Japan,West Germany,France,United Kingdom,Italy,Canada,China,India
1980,United States,Soviet Union,Japan,West Germany,France,United Kingdom,Italy,Canada,Brazil,China
1975,United States,Soviet Union,Japan,West Germany,France,United Kingdom,Italy,Canada,China,Brazil
1970,United States,Soviet Union,Japan,West Germany,France,United Kingdom,Italy,China,Canada,India
1965,United States,Soviet Union,West Germany,France,United Kingdom,Japan,China,Italy,India,Canada
1960,United States,Soviet Union,West Germany,United Kingdom,France,China,Japan,Canada,Italy,India
